,estado,idade,escolaridade,nível de proficiência em inglês,renda,sexo
176,AP,42,Médio,Avançado,2962.37,M
177,CE,56,Fundamental,Básico,4103.3,M
178,DF,50,Pós-graduação,Intermediário,3114.23,M
179,RN,18,Pós-graduação,Intermediário,3150.3,F
180,RR,44,Superior,Básico,2636.39,M
181,SP,30,Pós-graduação,Intermediário,2943.05,M
182,TO,58,Médio,Intermediário,3307.8,F
183,PI,20,Superior,Avançado,1289.83,F
184,MT,56,Pós-graduação,Básico,1651.81,M
185,RJ,23,Médio,Básico,3743.26,M
186,BA,25,Pós-graduação,Básico,3170.87,F
187,RJ,44,Pós-graduação,Básico,2816.02,M
188,MT,26,Fundamental,Básico,3018.43,F
189,SC,54,Pós-graduação,Intermediário,3347.58,F
190,MS,50,Pós-graduação,Avançado,2460.24,F
191,MA,59,Médio,Básico,2221.7,M
192,ES,61,Médio,Avançado,3195.85,F
193,SC,41,Fundamental,Avançado,2021.63,M
194,GO,32,Pós-graduação,Intermediário,3408.25,M
195,AM,49,Fundamental,Básico,1297.42,M
196,BA,49,Pós-graduação,Intermediário,4029.16,M
197,RS,41,Superior,Básico,3472.6,M
198,ES,58,Superior,Intermediário,3256.03,F
199,RR,29,Fundamental,Avançado,3982.69,F
200,GO,56,Fundamental,Básico,4665.47,F
201,PB,19,Fundamental,Avançado,4014.37,M
202,PB,20,Médio,Avançado,1159.13,F
203,PR,54,Médio,Intermediário,1720.42,M
204,PA,34,Médio,Básico,2375.18,F
205,ES,19,Fundamental,Avançado,3026.09,M
206,PI,19,Pós-graduação,Intermediário,3517.66,F
207,MA,45,Superior,Básico,2274.26,M
208,RN,40,Fundamental,Básico,3186.77,M
209,CE,54,Médio,Avançado,2244.62,M
210,MS,49,Médio,Básico,2388.48,F
211,AL,50,Fundamental,Avançado,1593.34,F
212,DF,18,Fundamental,Básico,2076.77,F
213,PR,36,Médio,Intermediário,1648.32,M
214,AP,19,Pós-graduação,Avançado,2024.13,M
215,MG,61,Médio,Avançado,4053.64,M
216,AP,43,Médio,Básico,2050.6,F
217,TO,49,Fundamental,Básico,5632.38,M
218,PI,23,Pós-graduação,Avançado,3493.32,M
219,MT,49,Médio,Básico,3184.84,F
220,ES,21,Médio,Intermediário,2141.64,F
221,CE,28,Superior,Básico,3700.31,M
222,AC,34,Fundamental,Intermediário,2424.36,F
223,AC,55,Superior,Intermediário,3122.01,F
224,RR,41,Superior,Intermediário,5560.08,F
225,ES,22,Médio,Intermediário,2903.94,M
226,BA,51,Fundamental,Intermediário,4149.27,M
227,PR,23,Pós-graduação,Básico,2296.82,M
228,MT,39,Médio,Intermediário,2965.01,F
229,BA,28,Pós-graduação,Básico,4770.8,F
230,AM,33,Pós-graduação,Intermediário,2373.03,M
231,CE,50,Fundamental,Avançado,4812.45,F
232,PA,26,Superior,Intermediário,3707.75,M
233,RO,23,Fundamental,Avançado,2437.53,M
234,RJ,33,Pós-graduação,Intermediário,3632.41,F
235,GO,46,Médio,Intermediário,3972.55,M
236,MS,20,Pós-graduação,Intermediário,3621.81,F
237,MT,37,Médio,Avançado,1429.78,F
238,PA,53,Médio,Avançado,2272.86,M
239,RR,36,Fundamental,Intermediário,2752.48,M
240,PR,43,Pós-graduação,Básico,2925.57,M
241,AC,20,Superior,Intermediário,3620.67,F
242,MG,36,Pós-graduação,Avançado,3177.7,M
243,RR,37,Pós-graduação,Intermediário,1664.66,F
244,RS,49,Superior,Avançado,3380.2,F
245,RS,24,Fundamental,Avançado,3610.59,F
246,MG,58,Pós-graduação,Avançado,3559.79,F
247,AL,50,Pós-graduação,Intermediário,4080.78,M
248,AM,57,Médio,Avançado,3833.92,M
249,CE,56,Pós-graduação,Avançado,3459.18,M
250,SE,35,Superior,Intermediário,2929.83,M
251,TO,57,Médio,Avançado,1339.04,M
252,RR,18,Fundamental,Intermediário,3429.62,M
253,TO,28,Médio,Avançado,3207.69,M
254,BA,45,Superior,Básico,3271.58,M
255,SP,42,Superior,Básico,1723.25,F
256,AP,40,Médio,Avançado,1918.94,M
257,AC,48,Fundamental,Básico,4053.15,F
258,AM,47,Médio,Intermediário,2960.44,M
259,SP,59,Fundamental,Básico,3681.5,F
260,RN,52,Médio,Avançado,3028.32,F
261,AL,24,Superior,Avançado,3029.76,F
262,SE,33,Pós-graduação,Intermediário,3938.28,M
263,BA,43,Pós-graduação,Avançado,2483.96,F
264,AP,19,Fundamental,Intermediário,3096.12,F
265,GO,18,Fundamental,Básico,2537.72,M
266,RN,29,Fundamental,Básico,2565.5,F
267,CE,22,Superior,Intermediário,2690.83,F
268,PI,54,Médio,Intermediário,3222.13,M
269,CE,49,Superior,Avançado,2521.25,M
270,RJ,26,Pós-graduação,Básico,4255.76,F
271,MS,58,Fundamental,Intermediário,2105.39,F
272,SP,52,Médio,Básico,2813.13,M
273,MT,36,Pós-graduação,Intermediário,2560.27,M
274,AL,33,Pós-graduação,Básico,4446.98,M
275,PB,20,Pós-graduação,Avançado,3196.55,M
276,MS,37,Superior,Básico,4031.84,M
277,MS,41,Fundamental,Básico,1514.44,M
278,GO,50,Pós-graduação,Básico,3267.05,M
279,RS,41,Fundamental,Básico,3889.63,M
280,SC,28,Superior,Básico,3082.28,F
281,AL,25,Pós-graduação,Avançado,4065.48,F
282,RO,53,Superior,Intermediário,2482.71,F
283,AP,55,Superior,Básico,4409.35,M
284,MS,57,Fundamental,Avançado,5298.9,M
285,SE,37,Pós-graduação,Básico,2637.16,M
286,PR,52,Superior,Básico,2554.5,M
287,RS,42,Pós-graduação,Intermediário,4453.38,F
288,SC,52,Fundamental,Básico,4579.57,M
289,SE,42,Superior,Avançado,2477.14,F
290,AC,46,Fundamental,Avançado,2579.81,F
291,RS,35,Pós-graduação,Intermediário,2718.22,F
292,AP,63,Pós-graduação,Básico,1655.55,M
293,RN,35,Fundamental,Avançado,2081.35,F
294,AL,19,Médio,Básico,1995.86,F
295,GO,52,Superior,Básico,2232.2,F
296,RJ,33,Pós-graduação,Básico,2965.32,M
297,PB,58,Pós-graduação,Intermediário,3234.21,F
298,PI,53,Superior,Básico,4550.5,F
299,SE,50,Fundamental,Avançado,2001.65,F
300,MT,21,Fundamental,Básico,3984.32,M
301,SP,50,Fundamental,Avançado,2786.01,M
302,RR,31,Médio,Básico,2950.54,F
303,PR,38,Médio,Avançado,3674.82,F
304,RO,37,Pós-graduação,Avançado,1877.28,F
305,PE,25,Fundamental,Básico,3382.41,M
306,BA,24,Superior,Básico,3166.45,M
307,MS,20,Pós-graduação,Avançado,3492.45,M
308,MT,34,Superior,Intermediário,3289.17,F
309,PB,50,Pós-graduação,Básico,5455.3,F
310,TO,29,Médio,Intermediário,2362.26,F
311,AP,39,Pós-graduação,Básico,2469.0,M
312,AC,39,Médio,Básico,2376.86,F
313,RN,63,Pós-graduação,Básico,2444.52,F
314,PR,47,Fundamental,Básico,2362.61,F
315,AL,55,Superior,Intermediário,4189.02,M
316,AL,55,Fundamental,Básico,4420.5,F
317,AP,62,Pós-graduação,Avançado,2429.25,M
318,ES,25,Pós-graduação,Avançado,2167.64,F
319,SC,44,Pós-graduação,Intermediário,3471.42,M
320,PB,44,Médio,Básico,2447.78,M
321,DF,51,Superior,Avançado,3632.93,M
322,CE,38,Superior,Intermediário,3202.92,F
323,GO,47,Pós-graduação,Básico,1484.26,F
324,RN,50,Pós-graduação,Avançado,4547.51,M
325,AC,45,Médio,Avançado,4795.88,F
326,ES,64,Fundamental,Intermediário,2387.21,F
327,RR,50,Fundamental,Básico,2612.3,M
328,RR,22,Superior,Básico,3285.87,M
329,AP,36,Médio,Avançado,3334.46,F
330,AM,21,Pós-graduação,Avançado,3658.54,M
331,SE,52,Superior,Avançado,5010.2,M
332,SP,34,Médio,Básico,2823.05,M
333,PB,61,Fundamental,Intermediário,2201.7,M
334,CE,45,Médio,Intermediário,1620.68,M
335,PB,47,Fundamental,Básico,2269.07,F
336,RS,46,Médio,Intermediário,2966.87,M
337,AP,63,Superior,Avançado,4794.56,M
338,SP,23,Fundamental,Intermediário,2482.39,F
339,RS,52,Superior,Intermediário,3223.79,F
340,RS,58,Superior,Intermediário,2983.58,M
341,PA,54,Fundamental,Avançado,4188.39,F
342,RN,41,Fundamental,Básico,5526.93,F
343,PA,46,Pós-graduação,Avançado,2469.13,F
344,AM,63,Pós-graduação,Básico,2510.56,F
345,MS,48,Pós-graduação,Básico,4044.16,M
346,PE,52,Superior,Básico,3681.89,F
347,DF,50,Superior,Intermediário,4846.71,M
348,GO,38,Pós-graduação,Intermediário,3583.93,F
349,AP,49,Superior,Básico,2640.71,F
350,MG,40,Superior,Básico,3590.65,F
351,PB,50,Fundamental,Intermediário,4108.7,M
352,PI,20,Fundamental,Avançado,3820.48,M
353,RJ,35,Superior,Básico,3507.27,F
354,AC,42,Pós-graduação,Avançado,4066.67,M
355,CE,59,Médio,Intermediário,4169.3,F
356,TO,48,Pós-graduação,Básico,4382.16,M
357,TO,20,Médio,Avançado,3648.71,M
358,RR,57,Pós-graduação,Avançado,2832.88,M
359,TO,63,Fundamental,Avançado,3146.71,M
360,TO,41,Superior,Intermediário,4206.51,M
361,AL,49,Superior,Intermediário,2183.06,M
362,SC,64,Fundamental,Avançado,3368.67,M
363,PA,39,Médio,Avançado,2606.66,F
364,CE,40,Médio,Intermediário,3028.74,M
365,PA,19,Médio,Avançado,4278.45,F
366,AM,44,Fundamental,Avançado,3191.1,F
367,RS,59,Médio,Intermediário,3046.44,F
368,ES,19,Fundamental,Avançado,1640.14,F
369,AP,43,Pós-graduação,Avançado,3746.25,M
370,RJ,34,Pós-graduação,Avançado,3645.48,F
371,PA,57,Fundamental,Intermediário,5163.25,M
372,TO,50,Superior,Avançado,2692.22,M
373,RN,26,Pós-graduação,Intermediário,3219.15,F
374,PE,60,Médio,Intermediário,3249.38,F
375,SP,56,Fundamental,Básico,4577.45,F
376,ES,46,Médio,Básico,2904.7,M
377,SC,59,Médio,Avançado,3279.02,F
378,PA,43,Superior,Intermediário,3607.9,F
379,SE,52,Médio,Básico,3186.61,M
380,CE,42,Superior,Avançado,2553.57,F
381,RR,41,Pós-graduação,Básico,3194.09,F
382,RO,30,Fundamental,Básico,4073.63,M
383,PR,24,Médio,Intermediário,1973.48,F
384,SP,53,Fundamental,Intermediário,3132.97,F
385,RJ,62,Médio,Básico,2299.88,M
386,PA,37,Fundamental,Básico,4195.05,M
387,RJ,18,Médio,Intermediário,1476.81,F
388,AP,25,Médio,Avançado,2441.08,F
389,MA,63,Médio,Intermediário,3377.21,M
390,RJ,33,Médio,Básico,4565.52,M
391,GO,31,Médio,Avançado,2934.25,M
392,RN,29,Médio,Básico,2444.8,M
393,MG,40,Médio,Avançado,4881.16,M
394,DF,32,Médio,Básico,1551.99,M
395,PA,45,Médio,Avançado,801.19,M
396,GO,51,Fundamental,Avançado,3440.01,M
397,TO,19,Superior,Básico,2497.95,F
398,RR,49,Médio,Avançado,1978.77,F
399,SP,40,Superior,Intermediário,3708.36,M
400,RJ,39,Médio,Básico,3243.8,F
401,PB,42,Médio,Intermediário,2435.92,M
402,RN,39,Fundamental,Básico,1719.7,F
403,PA,39,Pós-graduação,Avançado,3872.46,F
404,SC,59,Pós-graduação,Avançado,3650.2,M
405,CE,23,Fundamental,Avançado,2900.82,F
406,RS,32,Superior,Básico,4846.64,M
407,AM,60,Pós-graduação,Intermediário,1929.92,F
408,ES,54,Fundamental,Intermediário,1474.47,F
409,PE,50,Fundamental,Básico,2308.09,F
410,GO,25,Pós-graduação,Básico,2954.41,M
411,AC,61,Superior,Intermediário,3243.34,M
412,SC,61,Fundamental,Intermediário,2758.76,F
413,RN,22,Médio,Intermediário,3352.06,M
414,SP,56,Superior,Intermediário,1748.46,F
415,PA,21,Superior,Básico,4443.76,M
416,MT,23,Pós-graduação,Básico,2917.85,M
417,RS,62,Pós-graduação,Avançado,4117.3,M
418,AP,49,Médio,Intermediário,3342.73,M
419,GO,47,Fundamental,Avançado,3456.75,F
420,TO,64,Pós-graduação,Básico,3569.77,M
421,PA,52,Pós-graduação,Básico,3447.71,M
422,GO,57,Superior,Avançado,3642.72,F
423,AM,33,Pós-graduação,Intermediário,4329.15,F
424,TO,30,Pós-graduação,Intermediário,3196.52,F
425,AM,59,Pós-graduação,Intermediário,3709.0,F
426,ES,47,Pós-graduação,Intermediário,2910.26,M
427,AL,36,Superior,Avançado,4440.12,F
428,GO,34,Médio,Avançado,2323.61,M
429,PA,36,Médio,Básico,4800.94,M
430,RO,45,Fundamental,Intermediário,2959.84,F
431,GO,43,Pós-graduação,Intermediário,1569.22,M
432,SC,54,Superior,Intermediário,3128.1,F
433,RR,43,Fundamental,Avançado,2318.95,F
434,PR,40,Fundamental,Intermediário,3840.64,M
435,PE,26,Médio,Avançado,2347.38,M
436,PR,29,Superior,Intermediário,2553.82,F
437,MS,18,Superior,Intermediário,1110.46,M
438,AP,18,Superior,Básico,2547.69,F
439,MT,64,Médio,Intermediário,576.12,M
440,PA,51,Médio,Intermediário,1416.1,F
441,PI,49,Médio,Básico,3760.41,F
442,RS,42,Médio,Avançado,3785.8,F
443,RS,57,Médio,Avançado,3425.46,F
444,BA,62,Pós-graduação,Intermediário,2033.02,M
445,PR,18,Pós-graduação,Avançado,2952.29,F
446,RN,33,Superior,Intermediário,2996.4,F
447,BA,56,Fundamental,Básico,1841.64,F
448,AP,22,Superior,Básico,4503.4,F
449,MS,39,Fundamental,Intermediário,3877.36,M
450,AC,46,Médio,Básico,2779.04,F
451,RS,20,Fundamental,Básico,3026.89,F
452,GO,29,Superior,Intermediário,3208.38,F
453,GO,43,Superior,Intermediário,958.27,M
454,AM,33,Fundamental,Básico,2752.82,F
455,AP,54,Pós-graduação,Avançado,2318.02,F
456,PE,39,Médio,Avançado,1998.38,M
457,AL,46,Médio,Intermediário,2718.9,F
458,SC,31,Superior,Intermediário,4797.69,M
459,AC,45,Pós-graduação,Avançado,3640.84,F
460,ES,22,Fundamental,Básico,2428.82,F
461,MG,64,Médio,Avançado,3572.58,M
462,RR,47,Pós-graduação,Avançado,4399.36,M
463,PB,63,Médio,Avançado,3924.63,F
464,ES,22,Pós-graduação,Avançado,3059.63,F
465,MS,29,Pós-graduação,Intermediário,2353.06,M
466,RO,33,Superior,Intermediário,3698.22,M
467,MS,43,Médio,Básico,3393.49,F
468,PA,43,Fundamental,Básico,3895.19,F
469,PB,38,Superior,Básico,3635.17,M
470,PB,56,Superior,Básico,4049.55,F
471,GO,53,Fundamental,Avançado,2464.76,F
472,RJ,50,Superior,Intermediário,4317.39,M
473,SE,47,Pós-graduação,Intermediário,3197.6,M
474,RN,54,Pós-graduação,Básico,5075.26,M
475,RO,40,Médio,Básico,2310.81,M
476,ES,27,Médio,Avançado,4735.96,F
477,RS,22,Fundamental,Avançado,3197.91,F
478,RJ,53,Médio,Básico,2348.58,F
479,CE,51,Pós-graduação,Intermediário,2516.11,F
480,RN,48,Fundamental,Intermediário,2679.65,F
481,SP,27,Fundamental,Intermediário,3424.17,F
482,RJ,36,Médio,Básico,3522.84,M
483,AM,49,Pós-graduação,Intermediário,2426.3,F
484,RR,18,Fundamental,Avançado,2975.65,M
485,DF,22,Pós-graduação,Avançado,5142.27,M
486,AM,62,Pós-graduação,Básico,4727.54,F
487,RO,21,Pós-graduação,Avançado,3436.32,M
488,MS,33,Médio,Básico,3038.0,F
489,MG,41,Superior,Intermediário,3120.03,F
490,AP,33,Superior,Intermediário,3613.52,F
491,RO,19,Fundamental,Intermediário,1977.21,F
492,MS,45,Pós-graduação,Avançado,2742.62,M
493,AL,49,Médio,Básico,1331.42,F
494,SC,44,Pós-graduação,Intermediário,3399.22,M
495,AL,37,Pós-graduação,Básico,3647.2,F
496,TO,41,Médio,Intermediário,2516.81,F
497,RR,29,Superior,Avançado,4573.99,F
498,GO,52,Pós-graduação,Avançado,1774.23,M
499,AC,50,Pós-graduação,Básico,1535.63,F
500,ES,50,Superior,Avançado,3224.45,F
501,RR,60,Médio,Avançado,4047.1,M
502,CE,54,Fundamental,Básico,4683.93,M
503,CE,29,Superior,Intermediário,2541.12,M
504,RO,20,Fundamental,Avançado,4078.68,M
505,SP,18,Fundamental,Básico,2961.49,M
506,PI,50,Superior,Avançado,2827.37,M
507,PE,57,Pós-graduação,Avançado,3883.66,F
508,MS,27,Fundamental,Avançado,3652.32,F
509,CE,60,Fundamental,Avançado,1423.61,F
510,SE,61,Médio,Básico,4476.54,M
511,TO,46,Pós-graduação,Básico,4380.09,M
512,ES,30,Fundamental,Básico,2374.44,F
513,RJ,29,Médio,Avançado,3395.8,F
514,MA,48,Pós-graduação,Avançado,3494.03,F
515,AC,63,Superior,Avançado,3260.67,F
516,SP,19,Superior,Básico,2449.69,M
517,MG,52,Médio,Avançado,2328.38,M
518,PE,40,Superior,Intermediário,2974.45,M
519,AP,34,Fundamental,Avançado,4172.73,F
520,ES,43,Pós-graduação,Intermediário,3543.6,M
521,PA,25,Fundamental,Avançado,2629.39,F
522,AP,46,Fundamental,Básico,3771.7,F
523,PR,43,Superior,Avançado,151.46,M
524,MG,27,Fundamental,Intermediário,4148.77,M
525,RN,43,Superior,Intermediário,1260.29,F
526,SC,51,Pós-graduação,Avançado,2637.56,M
527,PE,58,Pós-graduação,Intermediário,1880.33,F
528,MG,24,Fundamental,Intermediário,1705.32,F
529,CE,21,Médio,Básico,4160.83,F
530,PE,62,Superior,Avançado,2532.3,M
531,PA,28,Superior,Avançado,3346.5,F
532,PE,46,Fundamental,Avançado,2953.08,F
533,ES,53,Superior,Intermediário,3477.04,M
534,MT,42,Superior,Avançado,3076.82,F
535,RN,38,Médio,Avançado,1717.01,M
536,AC,53,Médio,Básico,3996.27,F
537,SE,27,Fundamental,Básico,2506.24,F
538,DF,54,Médio,Básico,1443.42,M
539,RS,26,Fundamental,Intermediário,2571.88,M
540,RS,41,Pós-graduação,Avançado,4500.76,F
541,PE,52,Fundamental,Básico,3850.22,M
542,MA,52,Pós-graduação,Básico,2651.35,M
543,MT,53,Fundamental,Básico,2650.74,M
544,RO,35,Superior,Avançado,2678.36,M
545,GO,56,Médio,Avançado,5076.75,M
546,GO,49,Pós-graduação,Avançado,3381.94,M
547,SC,41,Fundamental,Intermediário,3430.04,M
548,BA,40,Médio,Intermediário,4030.28,M
549,PE,49,Fundamental,Básico,3238.79,M
550,GO,54,Médio,Avançado,2740.96,M
551,PE,29,Médio,Básico,2803.65,F
552,SC,30,Fundamental,Avançado,2928.4,M
553,RS,40,Pós-graduação,Avançado,2962.78,M
554,RJ,42,Pós-graduação,Avançado,3727.63,F
555,TO,52,Superior,Intermediário,3051.95,F
556,DF,58,Médio,Intermediário,3732.64,F
557,RR,47,Superior,Avançado,2919.28,F
558,GO,34,Superior,Básico,3078.64,M
559,DF,37,Fundamental,Avançado,1001.8,M
560,MG,42,Fundamental,Avançado,3916.33,F
561,MT,39,Fundamental,Básico,3346.49,F
562,PA,30,Médio,Avançado,3998.01,F
563,RJ,36,Fundamental,Básico,103.74,F
564,MT,53,Fundamental,Intermediário,5088.37,F
565,MG,29,Médio,Intermediário,2860.41,F
566,PA,58,Médio,Básico,4108.18,M
